gamma(rad),chi(rad),psi0(rad),ax,ay,delta(rad),handedness
-0.7853981633974483,-0.39269908169872414,0.7853981633974483,0.7071067811865476,0.7071067811865475,-0.7853981633974482,RHP
-0.7853981633974483,-0.19634954084936207,0.7853981633974483,0.7071067811865476,0.7071067811865475,-0.39269908169872414,RHP
-0.7853981633974483,0.0,0.7853981633974483,0.7071067811865476,0.7071067811865475,0.0,Linear
-0.7853981633974483,0.19634954084936207,0.7853981633974483,0.7071067811865476,0.7071067811865475,0.39269908169872414,LHP
-0.7853981633974483,0.39269908169872414,0.7853981633974483,0.7071067811865476,0.7071067811865475,0.7853981633974482,LHP
-0.39269908169872414,-0.39269908169872414,0.5235987755982988,0.8660254037844387,0.49999999999999994,-0.9553166181245093,RHP
-0.39269908169872414,-0.19634954084936207,0.4294428793646004,0.9091978559252624,0.41636433418450464,-0.5299027897489266,RHP
-0.39269908169872414,0.0,0.39269908169872414,0.9238795325112867,0.3826834323650898,0.0,Linear
-0.39269908169872414,0.19634954084936207,0.4294428793646004,0.9091978559252624,0.41636433418450464,0.5299027897489266,LHP
-0.39269908169872414,0.39269908169872414,0.5235987755982988,0.8660254037844387,0.49999999999999994,0.9553166181245093,LHP
0.0,-0.39269908169872414,0.39269908169872414,0.9238795325112867,0.3826834323650898,-1.5707963267948966,RHP
0.0,-0.19634954084936207,0.1963495408493621,0.9807852804032304,0.19509032201612828,-1.5707963118937354,RHP
0.0,0.0,0.0,1.0,0.0,0.0,Linear
0.0,0.19634954084936207,0.1963495408493621,0.9807852804032304,0.19509032201612828,1.5707963118937354,LHP
0.0,0.39269908169872414,0.39269908169872414,0.9238795325112867,0.3826834323650898,1.5707963267948966,LHP
0.39269908169872414,-0.39269908169872414,0.5235987755982988,0.8660254037844387,0.49999999999999994,-0.9553166181245093,RHP
0.39269908169872414,-0.19634954084936207,0.4294428793646004,0.9091978559252624,0.41636433418450464,-0.5299027897489266,RHP
0.39269908169872414,0.0,0.39269908169872414,0.9238795325112867,0.3826834323650898,0.0,Linear
0.39269908169872414,0.19634954084936207,0.4294428793646004,0.9091978559252624,0.41636433418450464,0.5299027897489266,LHP
0.39269908169872414,0.39269908169872414,0.5235987755982988,0.8660254037844387,0.49999999999999994,0.9553166181245093,LHP
0.7853981633974483,-0.39269908169872414,0.7853981633974483,0.7071067811865476,0.7071067811865475,-0.7853981633974482,RHP
0.7853981633974483,-0.19634954084936207,0.7853981633974483,0.7071067811865476,0.7071067811865475,-0.39269908169872414,RHP
0.7853981633974483,0.0,0.7853981633974483,0.7071067811865476,0.7071067811865475,0.0,Linear
0.7853981633974483,0.19634954084936207,0.7853981633974483,0.7071067811865476,0.7071067811865475,0.39269908169872414,LHP
0.7853981633974483,0.39269908169872414,0.7853981633974483,0.7071067811865476,0.7071067811865475,0.7853981633974482,LHP
